id;name;description;image;image_content_type;email;rating
3470da62-5c11-499d-ac5c-7c61a547caaf;Compatible Avon revolutionize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Lesly.Johnson16@hotmail.com;14613
fa0eda91-c71c-469f-983b-83fc5f40f844;Delaware transmit Global;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Suzanne.Nikolaus37@gmail.com;54273
a21a0bfd-ce33-405c-8b90-96d29c4b70d6;Chips Cedi;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Chase35@yahoo.com;50178
19a00c7a-5dda-4e83-b361-a416ed2d2f42;orchid bypass;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Dolores.Crist78@yahoo.com;79479
92a834a1-5987-468a-a03f-42c83a600acc;Triple-buffered Armenia Meadows;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Zachary.Murazik@yahoo.com;29726
35ed8c9d-aeec-47c3-9df6-09617f309a09;functionalities;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Rachelle44@yahoo.com;26067
329b26f3-966d-494b-a754-c1caea106f91;invoice cross-platform Kiribati;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Maida_Cummings89@gmail.com;64108
da9f47bb-e8f6-4f0e-bff9-16d209822f3d;Officer alarm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Eudora28@yahoo.com;66207
fcc0a3ff-1cf9-444a-9690-2cc25ea0a22f;matrix;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Boyd.Bernier5@yahoo.com;42227
a6a07178-3622-4326-a158-6c34d3bbc690;mission-critical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;Georgette.Harvey13@yahoo.com;82909
