id;code;description;percentage
c3ecc79a-1223-49f3-8730-c69d08ae529a;withdrawal Fresh;../fake-data/blob/hipster.txt;16062
ffaa0936-6ca1-473b-9d97-a216ce136d14;Music;../fake-data/blob/hipster.txt;7066
c465db5d-e086-4ce7-b76f-9747d057313a;virtual Games Kina;../fake-data/blob/hipster.txt;42094
45f24d83-15dc-4fd6-9161-983af9fd2e81;extranet brand;../fake-data/blob/hipster.txt;40305
43639e93-337a-4475-b860-211ce1364b5e;FTP;../fake-data/blob/hipster.txt;59060
0a87d308-1af1-46ae-bdf2-68e8fbff9d05;index;../fake-data/blob/hipster.txt;93539
75d8bf7b-4493-4906-8a4e-a7a480f4d777;pixel Money;../fake-data/blob/hipster.txt;97156
f98a053c-54dc-4201-aafa-4c3b0feea7ac;bandwidth;../fake-data/blob/hipster.txt;5583
d2a7abdb-3d57-4798-a5f2-659c7a5d4525;HDD;../fake-data/blob/hipster.txt;97304
1c26d2a2-994e-45ce-935a-80ccf4884c37;Dynamic Global;../fake-data/blob/hipster.txt;34313
